"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","variable","value"
"17421003","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Ediast (mV)",-75.0919816589053
"17421040","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Ediast (mV)",-79.2172258917367
"17502010","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Ediast (mV)",-68.2194229115417
"17n30003","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Ediast (mV)",49.841306226415
"17n30007","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Ediast (mV)",-73.0529750457949
"17n30012","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Ediast (mV)",-75.7446253085733
"18215005","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Ediast (mV)",-81.8623065172651
"18215021","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Ediast (mV)",-84.6541766968558
"18215028","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Ediast (mV)",-90.5805073957259
"18215032","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Ediast (mV)",-85.8427143210779
"18215048","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Ediast (mV)",-81.5529803384761
"18215062","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Ediast (mV)",-75.2740495340686
"18215067","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Ediast (mV)",-97.3027365498857
"18d03011","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Ediast (mV)",-78.4894426723445
"18d03015","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Ediast (mV)",-84.2497577425038
"18d03019","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Ediast (mV)",-83.9049091019833
"18d12020","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Ediast (mV)",-80.2661150753375
"18d12024","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Ediast (mV)",-84.797182071146
"18d12052","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Ediast (mV)",-78.9212664124653
"19307004","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Ediast (mV)",-73.367916437086
"19307005","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Ediast (mV)",-80.256227379804
"19307009","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Ediast (mV)",-83.1502093780832
"19314011","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Ediast (mV)",-68.820187160904
"17421004","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Ediast (mV)",-70.5044571423037
"17421041","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Ediast (mV)",-77.9468401211539
"17502011","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Ediast (mV)",-67.0966201520701
"17n30004","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Ediast (mV)",-76.3183557500726
"17n30008","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Ediast (mV)",-72.9553188004333
"17n30013","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Ediast (mV)",-74.8168909776384
"18215006","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Ediast (mV)",-82.2660540848833
"18215022","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Ediast (mV)",-85.2722797380152
"18215029","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Ediast (mV)",-90.4382344433271
"18215033","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Ediast (mV)",-87.6057758839229
"18215049","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Ediast (mV)",-81.4598406879568
"18215063","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Ediast (mV)",-77.6497820090454
"18215068","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Ediast (mV)",-99.3450949939734
"18d03012","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Ediast (mV)",-77.6748064236672
"18d03016","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Ediast (mV)",-84.525026303344
"18d03020","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Ediast (mV)",-83.1138324241452
"18d12021","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Ediast (mV)",-80.1970843120758
"18d12025","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Ediast (mV)",-82.2196063299389
"18d12053","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Ediast (mV)",-79.6337908424539
"19307005","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Ediast (mV)",-63.0444305993002
"19307006","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Ediast (mV)",-83.0958880878066
"19307010","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Ediast (mV)",-74.2270524403539
"19314012","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Ediast (mV)",-68.8696256351183
"17421005","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Ediast (mV)",-75.5975969045817
"17421042","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Ediast (mV)",-76.546083253907
"17502012","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Ediast (mV)",-65.893678230651
"17n30005","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Ediast (mV)",-75.7263147625681
"17n30009","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Ediast (mV)",-88.5620075122804
"17n30014","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Ediast (mV)",-73.8342250086875
"18215007","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Ediast (mV)",-81.4332903943946
"18215023","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Ediast (mV)",-85.2317523933594
"18215030","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Ediast (mV)",-90.8604756637024
"18215034","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Ediast (mV)",-86.9115009660609
"18215050","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Ediast (mV)",-81.7440814169663
"18215065","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Ediast (mV)",-78.6024797842461
"18215069","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Ediast (mV)",-99.5639060340205
"18d03013","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Ediast (mV)",-75.9542863656793
"18d03017","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Ediast (mV)",-83.3989886805189
"18d03021","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Ediast (mV)",-82.6117572176104
"18d12022","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Ediast (mV)",-79.5961931853635
"18d12026","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Ediast (mV)",-83.4982318467997
"18d12054","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Ediast (mV)",-79.6067522676308
"19307007_2","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Ediast (mV)",-74.671627312663
"19307007","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Ediast (mV)",-82.7709369086683
"19307011","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Ediast (mV)",-76.1333635181195
"19314013","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Ediast (mV)",-67.5988737423508
"17421007","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-75.0825212094751
"17421043","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-75.3337419182153
"17502013","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-64.9420180531297
"17n30006","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-71.2829555986163
"17n30010","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-67.8100553729452
"17n30015","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-74.7619593396225
"18215008","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-80.6707781703199
"18215024","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-81.9762591565309
"18215031","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-90.0280781841594
"18215035","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-85.9184589516772
"18215051","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-81.7886370820247
"18215066","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-78.54046806411
"18215070","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-100.000002235174
"18d03014","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-89.9399434165644
"18d03018","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-82.6616839765389
"18d03022","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-82.6860980395846
"18d12023","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-78.6378191405047
"18d12027","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-82.0867327918127
"18d12055","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-79.3621233559129
"19307008 2","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-67.704464557648
"19307008","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-82.8590716762633
"19307012","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-75.0620744316743
"19314014","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-65.9979216699544
"17421003","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",62.8973402730526
"17421040","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",56.8035901368467
"17502010","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",67.6135269019051
"17n30003","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",51.1474585081261
"17n30007","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",59.5703096705621
"17n30012","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",57.8002902233835
"18215005","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",55.9423840629097
"18215021","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",50.2880870615263
"18215028","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",46.2921152925219
"18215032","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",53.1317150547739
"18215048","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",54.9926770104321
"18215062","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",58.1939710272991
"18215067","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",41.4385995590374
"18d03011","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",58.5974134191293
"18d03015","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",54.5733654776223
"18d03019","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",55.3344738930719
"18d12020","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",54.6698010266528
"18d12024","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",51.2280284887857
"18d12052","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",54.5599377429471
"19307004","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",54.5654270957813
"19307005","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",54.1986096098708
"19307009","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",53.6157238546548
"19314011","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",58.3007784808616
"17421004","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",61.9512953300319
"17421041","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",54.8260510301452
"17502011","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",67.081910679085
"17n30004","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",60.05859089737
"17n30008","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",57.1899386898737
"17n30013","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",57.3730441499266
"18215006","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",54.2688000411272
"18215022","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",49.5477305996656
"18215029","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",44.9774179975111
"18215033","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",50.6585704682448
"18215049","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",54.1156017955155
"18215063","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",57.130738581659
"18215068","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",38.7786873902087
"18d03012","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",58.0676282510376
"18d03016","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",54.0374767937692
"18d03020","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",54.6307385257797
"18d12021","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",54.4934094211476
"18d12025","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",49.3377696574726
"18d12053","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",53.518067602472
"19307005","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",50.5798315819619
"19307006","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",53.0657970845505
"19307010","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",52.956544152421
"19314012","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",55.2185032366368
"17421005","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",60.9161390568943
"17421042","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",54.2596447674851
"17502012","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",66.2915053879806
"17n30005","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",59.3261690571582
"17n30009","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",-44.0673807194117
"17n30014","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",57.0678683831717
"18215007","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",52.8985607526875
"18215023","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",48.2531749066675
"18215030","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",42.9119882638452
"18215034","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",48.9440928908607
"18215050","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",52.2973644501872
"18215065","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",54.2346203528632
"18215069","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",36.4453133146162
"18d03013","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",56.0351575024834
"18d03017","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",51.911011902489
"18d03021","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",54.5483410630004
"18d12022","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",52.2857677702405
"18d12026","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",48.2263194373172
"18d12054","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",52.3974621086745
"19307007_2","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",51.3183569375088
"19307007","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",52.5329601585782
"19307011","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",52.6800548884285
"19314013","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",53.5888646421655
"17421007","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Peak (mV)",59.6954359046095
"17421043","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Peak (mV)",52.1447765561516
"17502013","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Peak (mV)",64.3273940159543
"17n30006","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Peak (mV)",54.0161107156224
"17n30010","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Peak (mV)",45.7153298598883
"17n30015","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Peak (mV)",56.8237277697678
"18215008","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Peak (mV)",50.4510509323564
"18215024","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Peak (mV)",42.9516611162944
"18215031","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Peak (mV)",41.2371835389104
"18215035","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Peak (mV)",48.5827647577844
"18215051","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Peak (mV)",50.4779064017066
"18215066","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Peak (mV)",50.2862560067979
"18215070","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Peak (mV)",33.3691413708584
"18d03014","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Peak (mV)",-49.8962413496429
"18d03018","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Peak (mV)",49.622193491955
"18d03022","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Peak (mV)",51.3049327873796
"18d12023","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Peak (mV)",52.2692882776846
"18d12027","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Peak (mV)",47.1813975389614
"18d12055","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Peak (mV)",47.7819834898856
"19307008 2","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Peak (mV)",47.9919410798801
"19307008","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Peak (mV)",49.9603282651379
"19307012","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Peak (mV)",49.8950206464906
"19314014","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Peak (mV)",45.2392556637507
"17421003","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","APA (mV)",137.989321931958
"17421040","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","APA (mV)",136.020816028583
"17502010","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","APA (mV)",135.832949813447
"17n30003","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","APA (mV)",1.30615228171109
"17n30007","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","APA (mV)",132.623284716357
"17n30012","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","APA (mV)",133.544915531957
