"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","Condition 5","variable","value"
"C1 2019_04_23_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Ediast (mV)",-63.3996541595459
"C1 2019_04_30_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Ediast (mV)",-66.3525314331055
"C1 2019_05_15_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Ediast (mV)",-77.9553146362305
"C1 2019_06_06_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Ediast (mV)",-75.9716720581055
"C1 2019_06_14_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Ediast (mV)",-60.6445274353027
"C1 2019_07_03_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Ediast (mV)",-58.7243614196777
"C2 2019_05_16_0001 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Ediast (mV)",-60.4296836853027
"C2 2019_06_03_0001 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Ediast (mV)",-76.8823165893555
"C3 2019_05_31_0003 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Ediast (mV)",-63.0847129821777
"C3 2019_06_03_0002 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Ediast (mV)",-62.8930625915527
"C3 2019_06_14_0002 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Ediast (mV)",-66.0839767456055
"C6 2019_05_27_0005 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Ediast (mV)",-61.36474609375
"C1 2019_04_23_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Ediast (mV)",-64.9035568237305
"C1 2019_04_30_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Ediast (mV)",-64.0331970214844
"C1 2019_05_15_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Ediast (mV)",-74.4042892456055
"C1 2019_06_06_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Ediast (mV)",-65.7641525268555
"C1 2019_06_14_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Ediast (mV)",-53.5864219665527
"C1 2019_07_03_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Ediast (mV)",-49.1296348571777
"C2 2019_05_16_0001 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Ediast (mV)",-52.3693809509277
"C2 2019_06_03_0001 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Ediast (mV)",-70.7592697143555
"C3 2019_05_31_0003 Tyrode","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Ediast (mV)",-57.0373497009277
"C3 2019_06_03_0002 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Ediast (mV)",-55.0988731384277
"C3 2019_06_14_0002 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Ediast (mV)",-61.2951622009277
"C6 2019_05_27_0005 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Ediast (mV)",-64.080810546875
"C1 2019_04_23_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Peak (mV)",19.6533184051514
"C1 2019_04_30_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Peak (mV)",24.3530254364014
"C1 2019_05_15_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Peak (mV)",11.5112295150757
"C1 2019_06_06_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Peak (mV)",30.8837871551514
"C1 2019_06_14_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Peak (mV)",39.2089805603027
"C1 2019_07_03_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Peak (mV)",25.2197246551514
"C2 2019_05_16_0001 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Peak (mV)",21.8627910614014
"C2 2019_06_03_0001 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Peak (mV)",25.4760723114014
"C3 2019_05_31_0003 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Peak (mV)",14.2944326400757
"C3 2019_06_03_0002 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Peak (mV)",16.5893537521362
"C3 2019_06_14_0002 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Peak (mV)",29.7729473114014
"C6 2019_05_27_0005 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Peak (mV)",11.04736328125
"C1 2019_04_23_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Peak (mV)",16.6137680053711
"C1 2019_04_30_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Peak (mV)",17.0654277801514
"C1 2019_05_15_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Peak (mV)",12.7929677963257
"C1 2019_06_06_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Peak (mV)",28.0761699676514
"C1 2019_06_14_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Peak (mV)",31.7260723114014
"C1 2019_07_03_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Peak (mV)",8.26415929794311
"C2 2019_05_16_0001 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Peak (mV)",9.79003810882568
"C2 2019_06_03_0001 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Peak (mV)",8.25195226669311
"C3 2019_05_31_0003 Tyrode","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Peak (mV)",-3.21044896841049
"C3 2019_06_03_0002 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Peak (mV)",5.10253863334656
"C3 2019_06_14_0002 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Peak (mV)",35.0097618103027
"C6 2019_05_27_0005 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Peak (mV)",8.544921875
"C1 2019_04_23_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","APA (mV)",83.0529725646973
"C1 2019_04_30_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","APA (mV)",90.7055568695068
"C1 2019_05_15_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","APA (mV)",89.4665441513062
"C1 2019_06_06_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","APA (mV)",106.855459213257
"C1 2019_06_14_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","APA (mV)",99.8535079956055
"C1 2019_07_03_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","APA (mV)",83.9440860748291
"C2 2019_05_16_0001 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","APA (mV)",82.2924747467041
"C2 2019_06_03_0001 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","APA (mV)",102.358388900757
"C3 2019_05_31_0003 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","APA (mV)",77.3791456222534
"C3 2019_06_03_0002 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","APA (mV)",79.482416343689
"C3 2019_06_14_0002 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","APA (mV)",95.8569240570068
"C6 2019_05_27_0005 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","APA (mV)",72.412109375
"C1 2019_04_23_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","APA (mV)",81.5173248291016
"C1 2019_04_30_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","APA (mV)",81.0986248016357
"C1 2019_05_15_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","APA (mV)",87.1972570419312
"C1 2019_06_06_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","APA (mV)",93.8403224945068
"C1 2019_06_14_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","APA (mV)",85.3124942779541
"C1 2019_07_03_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","APA (mV)",57.3937941551209
"C2 2019_05_16_0001 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","APA (mV)",62.1594190597534
"C2 2019_06_03_0001 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","APA (mV)",79.0112219810486
"C3 2019_05_31_0003 Tyrode","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","APA (mV)",53.8269007325172
"C3 2019_06_03_0002 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","APA (mV)",60.2014117717743
"C3 2019_06_14_0002 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","APA (mV)",96.3049240112305
"C6 2019_05_27_0005 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","APA (mV)",72.625732421875
"C1 2019_04_23_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","dV/dt max y (V/s)",41.0156173703852
"C1 2019_04_30_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","dV/dt max y (V/s)",85.4492149359245
"C1 2019_05_15_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","dV/dt max y (V/s)",43.4570312496732
"C1 2019_06_06_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","dV/dt max y (V/s)",182.373027801525
"C1 2019_06_14_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","dV/dt max y (V/s)",140.991198619127
"C1 2019_07_03_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","dV/dt max y (V/s)",16.6829427083726
"C2 2019_05_16_0001 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","dV/dt max y (V/s)",28.076165517219
"C2 2019_06_03_0001 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","dV/dt max y (V/s)",83.2112566632236
"C3 2019_05_31_0003 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","dV/dt max y (V/s)",10.5794268845683
"C3 2019_06_03_0002 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","dV/dt max y (V/s)",25.634765625373
"C3 2019_06_14_0002 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","dV/dt max y (V/s)",89.8437423705184
"C6 2019_05_27_0005 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","dV/dt max y (V/s)",33.5693359375444
"C1 2019_04_23_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","dV/dt max y (V/s)",60.7910079956374
"C1 2019_04_30_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","dV/dt max y (V/s)",49.804687500183
"C1 2019_05_15_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","dV/dt max y (V/s)",51.4439174109173
"C1 2019_06_06_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","dV/dt max y (V/s)",93.7500000001652
"C1 2019_06_14_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","dV/dt max y (V/s)",65.1041603090007
"C1 2019_07_03_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","dV/dt max y (V/s)",8.08715811934039
"C2 2019_05_16_0001 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","dV/dt max y (V/s)",17.7001857756924
"C2 2019_06_03_0001 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","dV/dt max y (V/s)",25.8789062500169
"C3 2019_05_31_0003 Tyrode","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","dV/dt max y (V/s)",7.52766927085406
"C3 2019_06_03_0002 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","dV/dt max y (V/s)",11.8582589285568
"C3 2019_06_14_0002 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","dV/dt max y (V/s)",113.037102222031
"C6 2019_05_27_0005 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","dV/dt max y (V/s)",26.5370244569079
"C1 2019_04_23_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Negative dV/dt max y (V/s)",-9.76562500056843
"C1 2019_04_30_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Negative dV/dt max y (V/s)",-9.52146911634949
"C1 2019_05_15_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Negative dV/dt max y (V/s)",-11.4746093750782
"C1 2019_06_06_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Negative dV/dt max y (V/s)",-10.7421875000142
"C1 2019_06_14_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Negative dV/dt max y (V/s)",-8.05664062502398
"C1 2019_07_03_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Negative dV/dt max y (V/s)",-8.30077743533027
"C2 2019_05_16_0001 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Negative dV/dt max y (V/s)",-6.59179687502487
"C2 2019_06_03_0001 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Negative dV/dt max y (V/s)",-8.78905868528852
"C3 2019_05_31_0003 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Negative dV/dt max y (V/s)",-7.56835937498579
"C3 2019_06_03_0002 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Negative dV/dt max y (V/s)",-7.81249618535425
"C3 2019_06_14_0002 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Negative dV/dt max y (V/s)",-8.78906226163826
"C6 2019_05_27_0005 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Negative dV/dt max y (V/s)",-31.7382812504619
"C1 2019_04_23_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Negative dV/dt max y (V/s)",-10.2538909912003
"C1 2019_04_30_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Negative dV/dt max y (V/s)",-10.0097656250702
"C1 2019_05_15_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Negative dV/dt max y (V/s)",-10.9863281251599
"C1 2019_06_06_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Negative dV/dt max y (V/s)",-10.9863281249933
"C1 2019_06_14_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Negative dV/dt max y (V/s)",-7.81250000003375
"C1 2019_07_03_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Negative dV/dt max y (V/s)",-8.54492169624824
"C2 2019_05_16_0001 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Negative dV/dt max y (V/s)",-6.59179687507372
"C2 2019_06_03_0001 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Negative dV/dt max y (V/s)",-11.7187500000817
"C3 2019_05_31_0003 Tyrode","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Negative dV/dt max y (V/s)",-7.81250000011369
"C3 2019_06_03_0002 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Negative dV/dt max y (V/s)",-7.32421779635011
"C3 2019_06_14_0002 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Negative dV/dt max y (V/s)",-11.9628906250453
"C6 2019_05_27_0005 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Negative dV/dt max y (V/s)",-30.517578125222
"C1 2019_04_23_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","RR (ms)",121.189999999999
"C1 2019_04_30_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","RR (ms)",153.06
"C1 2019_05_15_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","RR (ms)",119.79
"C1 2019_06_06_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","RR (ms)",175.69
"C1 2019_06_14_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","RR (ms)",115.48
"C1 2019_07_03_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","RR (ms)",141.23
"C2 2019_05_16_0001 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","RR (ms)",139.26
"C2 2019_06_03_0001 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","RR (ms)",171.98
"C3 2019_05_31_0003 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","RR (ms)",141.129999999999
"C3 2019_06_03_0002 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","RR (ms)",152.88
"C3 2019_06_14_0002 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","RR (ms)",103.35
"C6 2019_05_27_0005 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","RR (ms)",144.29
"C1 2019_04_23_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",238.410000000001
"C1 2019_04_30_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",277.04
"C1 2019_05_15_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",416.75
"C1 2019_06_06_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",269.82
"C1 2019_06_14_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",363.44
"C1 2019_07_03_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",179.98
"C2 2019_05_16_0001 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",202.76
"C2 2019_06_03_0001 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",442.12
"C3 2019_05_31_0003 Tyrode","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",287.73
"C3 2019_06_03_0002 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",223.37
"C3 2019_06_14_0002 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",281.02
"C6 2019_05_27_0005 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",238.1
"C1 2019_04_23_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Frequency (Hz)",8.25150589982676
"C1 2019_04_30_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Frequency (Hz)",6.53338560041814
"C1 2019_05_15_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Frequency (Hz)",8.34794223223977
"C1 2019_06_06_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Frequency (Hz)",5.6918435881382
"C1 2019_06_14_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Frequency (Hz)",8.65950813993764
"C1 2019_07_03_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Frequency (Hz)",7.08064858741061
"C2 2019_05_16_0001 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Frequency (Hz)",7.18081286801666
"C2 2019_06_03_0001 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Frequency (Hz)",5.81462960809395
