"File Name","Ediast (mV)","Peak (mV)","APA (mV)","dV/dt max y (V/s)","Negative dV/dt max y (V/s)","RR (ms)","Frequency (Hz)","SD1","SD2","SD1_SD2 Ratio","APD 20 (ms)","APD 50 (ms)","APD 90 (ms)","Folder","Condition 1","Condition 2","Condition 3","Condition 4","Condition 5"
"C1 2019_04_23_0000 Iso 100nM",-63.3996541595459,19.6533184051514,83.0529725646973,41.0156173703852,-9.76562500056843,121.189999999999,8.25150589982676,0.79078108362651,0.0240944444444335,32.8200588085858,18.5100000000006,32.3800000000017,50.6800000000017,"MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont"
"C1 2019_04_30_0000 Iso 100nM",-66.3525314331055,24.3530254364014,90.7055568695068,85.4492149359245,-9.52146911634949,153.06,6.53338560041814,1.2126881297348,0.0272499999999991,44.5023166875169,13.9600000000006,34.5,64,"MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont"
"C1 2019_05_15_0000 Iso 100nM",-77.9553146362305,11.5112295150757,89.4665441513062,43.4570312496732,-11.4746093750782,119.79,8.34794223223977,0.456083873864774,0.00959814814814551,47.5179031231036,20.1700000000004,39.4600000000002,54.6400000000001,"MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont"
"C1 2019_06_06_0000 Iso 100nM",-75.9716720581055,30.8837871551514,106.855459213257,182.373027801525,-10.7421875000142,175.69,5.6918435881382,0.786067038419097,0.0224722222222267,34.9794973832903,21.1799999999999,46.8699999999999,69.8099999999999,"MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont"
"C1 2019_06_14_0000 Iso 100nM",-60.6445274353027,39.2089805603027,99.8535079956055,140.991198619127,-8.05664062502398,115.48,8.65950813993764,0.616361410934261,0.0199722222222219,30.8609329535935,16.6300000000001,35.16,51.6700000000001,"MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont"
"C1 2019_07_03_0000 Iso 100nM",-58.7243614196777,25.2197246551514,83.9440860748291,16.6829427083726,-8.30077743533027,141.23,7.08064858741061,0.410121933088146,0.00845555555555538,48.5032509565492,13.8400000000003,26.7,41.8800000000001,"MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont"
"C2 2019_05_16_0001 Iso 100nM",-60.4296836853027,21.8627910614014,82.2924747467041,28.076165517219,-6.59179687502487,139.26,7.18081286801666,0.538579665003687,0.0176648148148148,30.4888373101993,13.27,29.2800000000001,48.74,"MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont"
"C2 2019_06_03_0001 Iso 100nM",-76.8823165893555,25.4760723114014,102.358388900757,83.2112566632236,-8.78905868528852,171.98,5.81462960809395,0.437227693033407,0.0112277777777819,38.9416055150839,11.1699999999997,29.680000000001,54.5900000000009,"MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont"
"C3 2019_05_31_0003 Iso 100nM",-63.0847129821777,14.2944326400757,77.3791456222534,10.5794268845683,-7.56835937498579,141.129999999999,7.08566569829241,1.01587674230361,0.0319259259259176,31.8198051533697,17.7900000000023,33.6600000000006,60.3900000000009,"MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont"
"C3 2019_06_03_0002 Iso 100nM",-62.8930625915527,16.5893537521362,79.482416343689,25.634765625373,-7.81249618535425,152.88,6.5410779696494,0.802566196646285,0.0226055555555679,35.5030512155941,15.1199999999997,28.95,51.9299999999996,"MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont"
"C3 2019_06_14_0002 Iso 100nM",-66.0839767456055,29.7729473114014,95.8569240570068,89.8437423705184,-8.78906226163826,103.35,9.67585873246251,0.368874037518888,0.00872777777777466,42.2643709442544,13.3300000000003,26.8200000000001,39.1,"MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont"
"C6 2019_05_27_0005 Iso 100nM",-61.36474609375,11.04736328125,72.412109375,33.5693359375444,-31.7382812504619,144.29,6.93048721325109,1.6145604837092,0.0404925925926027,39.8729836825551,25.3700000000004,44.4300000000003,69.180000000001,"MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont"
"C1 2019_04_23_0000 Tyr",-64.9035568237305,16.6137680053711,81.5173248291016,60.7910079956374,-10.2538909912003,238.410000000001,4.19445493058176,1.32818223732861,0.0450277777777764,29.4969528339491,17.480000000001,34.4900000000001,63.5400000000001,"MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont"
"C1 2019_04_30_0000 Tyr",-64.0331970214844,17.0654277801514,81.0986248016357,49.804687500183,-10.0097656250702,277.04,3.60958706323997,1.38710780242762,0.0273425925925932,50.7306612469283,14.2200000000004,31.9300000000005,68.8000000000004,"MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont"
"C1 2019_05_15_0000 Tyr",-74.4042892456055,12.7929677963257,87.1972570419312,51.4439174109173,-10.9863281251599,416.75,2.3995200959808,0.778995970607334,0.0330722222222422,23.5543884947481,18.3600000000006,39.2600000000006,60.9600000000006,"MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont"
"C1 2019_06_06_0000 Tyr",-65.7641525268555,28.0761699676514,93.8403224945068,93.7500000001652,-10.9863281249933,269.82,3.70617448669483,1.21150961843299,0.0385592592592582,31.4194214750663,17.7300000000001,44.31,78.26,"MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont"
"C1 2019_06_14_0000 Tyr",-53.5864219665527,31.7260723114014,85.3124942779541,65.1041603090007,-7.81250000003375,363.44,2.75148580233326,0.0671751442127091,0.00297222222222091,22.6009830996131,12.9899999999996,28.9299999999996,49.3699999999999,"MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont"
"C1 2019_07_03_0000 Tyr",-49.1296348571777,8.26415929794311,57.3937941551209,8.08715811934039,-8.54492169624824,179.98,5.5561729081009,1.17851130197757,0.0211666666666653,55.6776993060306,11.6400000000003,22.94,44.4400000000001,"MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont"
"C2 2019_05_16_0001 Tyr",-52.3693809509277,9.79003810882568,62.1594190597534,17.7001857756924,-6.59179687507372,202.76,4.93193923850858,1.16672618895772,0.0289481481481478,40.304000897977,12.5299999999997,26.8199999999997,54.4499999999998,"MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont"
"C2 2019_06_03_0001 Tyr",-70.7592697143555,8.25195226669311,79.0112219810486,25.8789062500169,-11.7187500000817,442.12,2.26182936759251,1.29636243217508,0.032925925925919,39.3720873664055,8.37999999999938,20.3399999999996,53.1399999999996,"MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont"
"C3 2019_05_31_0003 Tyrode",-57.0373497009277,-3.21044896841049,53.8269007325172,7.52766927085406,-7.81250000011369,287.73,3.47548048517708,3.11951941633505,0.0506203703703762,61.6257722634254,12.2800000000003,25.6199999999997,62.6599999999999,"MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont"
"C3 2019_06_03_0002 Tyr",-55.0988731384277,5.10253863334656,60.2014117717743,11.8582589285568,-7.32421779635011,223.37,4.47687693065318,1.38946482503157,0.0356648148148127,38.9589805035095,11.69,24.5500000000001,50.8200000000001,"MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont"
"C3 2019_06_14_0002 Tyr",-61.2951622009277,35.0097618103027,96.3049240112305,113.037102222031,-11.9628906250453,281.02,3.55846558963775,0.358267435801078,0.00653703703703862,54.8057833803216,8.96999999999989,23.99,40,"MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont"
"C6 2019_05_27_0005 Tyr",-64.080810546875,8.544921875,72.625732421875,26.5370244569079,-30.517578125222,238.1,4.19991600167997,1.84437018759486,0.0349166666666657,52.8220578786132,23.4499999999996,42.8299999999999,72.9099999999995,"MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont"
